,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,Link of most recent image,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
1. Microwave,1,2/28/2026,8:58:55 PM,izzyballz,,https://drive.google.com/uc?export=view&id=131_lBfQZxI9K1LoLNhuY9rbnhIjR14UV,Chemistry/Planetarium Building,"Flabby icon, gray and white fur with a spot that looks like a mole on his cheek",1/1/2010,"Very friendly, looks for humans to get pets and food. He is a very sleepy old man!",Yes,08/24/2022,Male,"Professor Sprinkles, Buddy, Apollo, Mike",,#REF!,TRUE,FALSE
2. Twix,2,2/28/2026,10:27:41 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1BYsBEobkxMDWWC72k1QPauB4PGimNRfB,COBA,Small brown tabby with little hints of orange. ,1/1/2020,"Very friendly, but scared of strangers and quick movements Does a pointer-dog pose when happy and loves cat-bongos",Yes,4/19/2021,Female,,,,TRUE,FALSE
3. Ford F-150,3,1/21/2026,8:49:17 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1-7jolZtrDQGHp0qdtmCqLWfOcgru3PzA,"Library/Life Science Building, Chemistry/Planetarium Building",Gray tabby with a 'black eyeliner' look. Very large paws!,9/1/2024,"Very friendly, young and hyper. Fights with microwave occassionally.",Yes,09/01/2024,Female,,Adopted 3/12/2025,,FALSE,TRUE
4. Eggs,4,2/28/2026,8:35:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=138rd9Bh6K5aGOP50XkwEbkQ_jNbtrWXj,COBA,"Brown and white, white belly and legs. Is very round and shaped like a plushie",1/1/2016,Relatively skittish. Is comfortable near people but will not let you pet her. Always spotted with Eraser,Yes,<04/28/2021,Female,,Records of her in the discord go back to at least 2019,,TRUE,FALSE
5. Eraser,5,2/28/2026,8:53:00 PM,the_frog.sorcerer,,https://drive.google.com/uc?export=view&id=1NQrXL-Xb40nkfsXxdg923UGu9jp9r7wI,COBA,Very fat tuxedo cat. Has a skinny rat tail. Loves to roll around,1/1/2017,Relatively skittish. Is comfortable near people but will not let you pet him. He eats a lot. Always spotted with eggs,Yes,08/24/2022,Male,"Previously known as bacon, Tuxedo",He popped up around the same time as pencil in 2021,,TRUE,FALSE
6. Snickers,6,2/28/2026,8:57:13 PM,the_frog.sorcerer,,https://drive.google.com/uc?export=view&id=1Hjrqac73erOpZCFXT9CKGUQLF3VKQ7Ma,North Campus / Engineering Research Building,"Soft brown tabby with pretty blue-green eyes. Got a bit of a ""Always grumpy"" face. Will respond to her name with a meow that sounds like a squeak",1/1/2018,"Reserved, would prefer if she was left alone but will tolerate having pictures taken of her. Liking to roam around outside of the UC starbucks after hours.",Yes,,Female,,First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/634478309761220618,,TRUE,FALSE
7. Hershey,7,1/19/2026,9:13:42 PM,layotu,,https://drive.google.com/uc?export=view&id=1SNiDX5etf_AlWpjvD9o0gT6bI8ciBV7p,"COBA, KC Hall",Brown tabby. Looks like twix but is rounder. Always looks worried. Has a black collar-like marking,1/1/2018,"""Assumed brother of twix."" Rarely seen during the day and often mistaken for Twix at first glance. A bit skittish.",Yes,3/25/2021,Male,"""Left-twix"", partnered with right twix",,,TRUE,FALSE
8. Pencil,8,10/12/2025,8:11:57 PM,astro_db,,https://drive.google.com/uc?export=view&id=1EVowMA5enH4hDxXMoZVRPFarPZYGBthW,"Bookstore / First Baptist Church, COBA, KC Hall","Gray tabby, grumpy looking, walks like a lion. ",1/1/2019,"Previously territorial and unsocialized. After TNR, slowly became socialized and allowed pets, close contact, and other ""peaceful"" activities. Less war time incidents but far more stink.",Yes,4/16/2024,Male,,"Popped up in spring 2021, Been missing since the end of F24.
Last spotted 12/12/2024",,FALSE,TRUE
9. Melvin,9,2/17/2026,9:39:52 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1ykl1Ed7XfGqLlDWO0lhEbFZLqMnZRldv,All over!,Odd looking feller,1/1/0250,chill asf. eats and roams at night,We don't do that.,half a hour ago,both,the,"Oh, possum!",,TRUE,FALSE
10. Alaska,10,3/4/2025,1:57:49 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1jtIryyOz_x-6y9E6nvMSP7gOJ8p1A0VN,COBA,Gray and white spots ,1/1/2018,A bit rough around the edges; definitely been involved in too many cat fights. Often found people watching or resting underneath a bush. Eggs isn't his biggest fan.,No,,Male,,Been missing for quite a bit. Most likely before 4/1/2024 by a month or two.,,FALSE,TRUE
