,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
1. Microwave,1,3/23/2026,3:48:27 PM,not_d3fault_1420,,,Chemistry/Planetarium Building,"Flabby icon, gray and white fur with a spot that looks like a mole on his cheek",1/1/2010,"Very friendly, looks for humans to get pets and food. He is a very sleepy old man!",Yes,08/24/2022,Male,"Professor Sprinkles, Buddy, Apollo, Mike",,2434,TRUE,FALSE
2. Twix,2,3/23/2026,5:59:21 PM,wildflower1202,,,COBA,Small brown tabby with little hints of orange. ,1/1/2020,"Very friendly, but scared of strangers and quick movements Does a pointer-dog pose when happy and loves cat-bongos",Yes,4/19/2021,Female,,,1312,TRUE,FALSE
3. Ford F-150,3,1/21/2026,8:49:17 PM,wildflower1202,,,"Library/Life Science Building, Chemistry/Planetarium Building",Gray tabby with a 'black eyeliner' look. Very large paws!,9/1/2024,"Very friendly, young and hyper. Fights with microwave occassionally.",Yes,09/01/2024,Female,,Adopted 3/12/2025,65,FALSE,TRUE
4. Eggs,4,3/21/2026,9:50:43 PM,_costco_wholesale_,,,COBA,"Brown and white, white belly and legs. Is very round and shaped like a plushie",1/1/2016,Relatively skittish. Is comfortable near people but will not let you pet her. Always spotted with Eraser,Yes,<04/28/2021,Female,,Records of her in the discord go back to at least 2019,561,TRUE,FALSE
5. Eraser,5,3/21/2026,9:50:43 PM,_costco_wholesale_,,,COBA,Very fat tuxedo cat. Has a skinny rat tail. Loves to roll around,1/1/2017,Relatively skittish. Is comfortable near people but will not let you pet him. He eats a lot. Always spotted with eggs,Yes,08/24/2022,Male,"Previously known as bacon, Tuxedo",He popped up around the same time as pencil in 2021,652,TRUE,FALSE
6. Snickers,6,3/23/2026,8:06:15 AM,gupguppy,,,North Campus / Engineering Research Building,"Soft brown tabby with pretty blue-green eyes. Got a bit of a ""Always grumpy"" face. Will respond to her name with a meow that sounds like a squeak",1/1/2018,"Reserved, would prefer if she was left alone but will tolerate having pictures taken of her. Liking to roam around outside of the UC starbucks after hours.",Yes,,Female,,First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/634478309761220618,178,TRUE,FALSE
7. Hershey,7,3/1/2026,6:15:24 PM,le_nuit_sans_fin,,,"COBA, KC Hall",Brown tabby. Looks like twix but is rounder. Always looks worried. Has a black collar-like marking,1/1/2018,"""Assumed brother of twix."" Rarely seen during the day and often mistaken for Twix at first glance. A bit skittish.",Yes,3/25/2021,Male,"""Left-twix"", partnered with right twix",,22,TRUE,FALSE
8. Pencil,8,10/12/2025,8:11:57 PM,astro_db,,,"Bookstore / First Baptist Church, COBA, KC Hall","Gray tabby, grumpy looking, walks like a lion. ",1/1/2019,"Previously territorial and unsocialized. After TNR, slowly became socialized and allowed pets, close contact, and other ""peaceful"" activities. Less war time incidents but far more stink.",Yes,4/16/2024,Male,,"Popped up in spring 2021, Been missing since the end of F24.
Last spotted 12/12/2024",35,FALSE,TRUE
9. Melvin,9,2/17/2026,9:39:52 PM,pandaaaas,,,All over!,Odd looking feller,1/1/0250,chill asf. eats and roams at night,We don't do that.,half a hour ago,both,the,"Oh, possum!",76,TRUE,FALSE
10. Alaska,10,3/4/2025,1:57:49 AM,austinbaustinb,,,COBA,Gray and white spots ,1/1/2018,A bit rough around the edges; definitely been involved in too many cat fights. Often found people watching or resting underneath a bush. Eggs isn't his biggest fan.,No,,Male,,Been missing for quite a bit. Most likely before 4/1/2024 by a month or two.,8,FALSE,TRUE
11. Laufey,11,3/26/2025,6:51:43 PM,austinbaustinb,,,Lot 50,White calico kitty. Gray and orange,1/1/2024,"Very Skittish, Will rarely be the first to appear and will only come for food when the other cats come up (specifically faye)",No,,Female,,,3,FALSE,TRUE
12. Faye,12,3/23/2026,6:04:51 PM,adeyumii,,,Lot 50,"Short dense gray fur. Yellow eyes. Small white patch between eyes, on chin, on throat. Small amounts of white on front paws, white socks on rear legs.",1/1/2024,Glutton and a bit silly. Usually follows around Boots or the other black cats,Yes,8/25/2025,Male,,,432,TRUE,FALSE
13. Lionel,13,4/15/2024,2:33:04 AM,austinbaustinb,,,Lot 50,Microwave shaped creature but a greyish brown,1/1/2020,Likes jumping down from the fence onto the Lot 50 feeding stations to scare the other cats.,Yes,3/25/2025,Male,,,3,FALSE,TRUE
14. Pencil 2,14,2/26/2025,8:25:14 PM,m_digio,,,Bookstore / First Baptist Church,Dark Gray Tabby ,1/1/2024,Very hidden.,No,,,,,1,FALSE,TRUE
15. Snowball,15,3/4/2025,1:59:57 AM,austinbaustinb,,,Centennial Courts,All white kitty,1/1/2022,Chill but not social,No,,,,,1,FALSE,TRUE
16. Marley,16,3/4/2025,2:01:38 AM,austinbaustinb,,,Centennial Courts,Gray,1/1/2023,,No,,,"Momma, Scrambled",,1,FALSE,TRUE
17. Bobbie,17,3/23/2026,5:39:17 PM,wildflower1202,,,Bookstore / First Baptist Church,Brown and cream Tortico with a short tail. Scrawny and small. Very angular and angry face. Face is half orange and half brown with a little white on the nose. She also has white paws.,1/1/2018,"Many words to describe her. None are positive. Very ""social"" with multiple litters.",Yes,1/16/2026,Female,,TNR priority - caught 1/15/26,106,TRUE,FALSE
18. Porkchop,18,1/1/2024,1:37:16 AM,austinbaustinb,,,"COBA, All over!","""Lookalike"" to eraser. Tuxedo cat. Fairly rotund.",1/1/2015,Appears near business building occassionally. Not social but does not seem to cause fights,,,,Oreo Mcflurry,,2,FALSE,TRUE
19. Rolo,19,5/2/2025,6:29:12 PM,wildflower1202,,,Bookstore / First Baptist Church,Rich colored brown tabby. Often followed by Citlali (her kid). A lot of orange around muzzle. Prominent white coloring on lower eye lid,1/1/2023,Skittish momma who gets pissed if you get near her,No,,Female,,Sibling to Toblerone. Rumored as deceased as of 2/9/2026,37,FALSE,TRUE
20. Citlali,20,3/5/2026,6:02:21 PM,pandaaaas,,,Bookstore / First Baptist Church,Honey brown tabby. Always seems to be judging. Looks exactly like her mom (Rolo) and could often be seen with her. W shaped collar marking.,10/1/2024,Friendly as a baby. Loves churu treats and may come up to you to get one if she knows you. Otherwise kinda just watches you.,Yes,2/16/2026,Female,,"Her name means ""Stargazer"" in Nahuatl! Nezhui/Coatl/Chilton's half sister.",169,TRUE,FALSE
21. Paquini,21,2/28/2026,8:35:59 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Black and white tuxedo. White goes up his face and he has a black blaze on his nose and black markings on his muzzle and chin,4/1/2024,Hungry boy. Will eat food if you set something out for him.,No,,Male,Panini,"Their name means ""Happy"" in Nahuatl!",66,TRUE,FALSE
22. Glockenspiel,22,6/7/2025,12:44:21 PM,simplyshadow171295,,,Bookstore / First Baptist Church,Square orange tabby. Medium-long coat. Similar build to Tang,6/1/2022,Runs away. Usually only ever seen at night,No,,Male,"Glock, Curry",,37,FALSE,FALSE
23. Tlacuilo,23,8/19/2025,10:01:38 AM,simplyshadow171295,,,Bookstore / First Baptist Church,"Solid black, skinny",1/1/2022,Has a creepy stare,No,,,,"Their name means ""Painter"" in Nahuatl!",7,FALSE,FALSE
24. Garfield,24,6/28/2025,7:03:04 AM,ericagott,,,Center Chase Apartments & The Greens,"Big. Fat. Orange.
Long hair",1/1/2017,"""Skittish, Wants me to feed him, but won't let me near him. (But he gives me slow blinks!)""",Yes,2015,Male,Tito FluffyButt,Erica Gott center chase kitty. First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/640345648310255642,32,FALSE,FALSE
25. Aphrodite,25,5/21/2025,7:55:06 PM,kitadan,,,Center Chase Apartments & The Greens,Brown/Orange tabbico (tabby tortie) with lots of white. Colored patches are very clean looking.,1/1/2017,"""Very friendly, comes into my home to visit and get rubs. Will let one neighbor pet her... sometimes.""",Yes,2017,Female,Dittie,Erica Gott center chase kitty,4,FALSE,FALSE
26. Tang,26,5/21/2025,7:55:06 PM,kitadan,,,Center Chase Apartments & The Greens,Rusty orange longhair tabby. Is deaf,1/1/2013," ""Grandsire to most, if not all of the rest of the cats. Friendly to me, but i've never picked him up... just petted him a lot. He lets me cut mats out of his fur.",Yes,2015,Male,,Erica Gott center chase kitty,6,FALSE,FALSE
27. Angel,27,3/4/2026,2:22:33 PM,kitadan,,,Mary Kay Apartments,Brown/Gray tabby with medium white,1/1/2022,"Angel is the only friendly cat in both the Zen Colony and in the MKZ location. Once a house pet, he was dumped at Zen and found a new home with his colony.",Yes,4/4/2022,Male,,TNR Chat link,150,TRUE,FALSE
28. Friga,28,3/4/2025,2:40:43 AM,austinbaustinb,,,Mary Kay Apartments,Black/Orange calico. White socks and tail tip,1/1/2020,"Grumpy lady, she doesn't like to get near people. Will often just sit or loaf and watch you until you leave.",Yes,10/15/2021,Female,,,3,FALSE,FALSE
29. Ginger,29,2/15/2026,1:07:53 PM,kitadan,,,Zen Gardens Apartments,Round orange tabby. You'll know him when you see him.,1/1/2019,"Ginger is an old-soul who is very laid back. He is not big on humans but as long as you respect his space, he will be okay with you.",Yes,11/14/2021,Male,,First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/640611616022331432,167,TRUE,FALSE
30. Pepper,30,2/26/2026,12:13:14 PM,kitadan,,,Mary Kay Apartments,Solid black with bald patches on arms,1/1/2020,Pepper is incredibly skittish and unsure of humans,Yes,10/25/2021,Female,,,131,TRUE,FALSE
31. Scraggle,31,5/6/2025,7:58:52 PM,kitadan,,,Heights On Pecan,Full black cat. Left eye doesn't open all the way and there seems to be some scars of previous fights. ,1/1/2020,He'll hiss at you all scary and mean but is a fairly chill dude. Doesn't want to be pet or anything but is arguably less skittish than Eraser,No,,Male,,"During a TNR event on 1/5/2026, a cat that is suspected to be scraggle tested positive for FIV and was euthanized. The cat was found in the neighborhood west of doug russel park and had a similar eye problem and build as previous ID's of scraggle.",27,FALSE,TRUE
32. Noir,32,2/26/2026,12:13:14 PM,kitadan,,,Zen Gardens Apartments,Black/Orange brindle tortoiseshell,1/1/2019,Super duper skittish lady. Will stare at you with wide eyes until you are 20 feet away,No,,Female,,,89,TRUE,FALSE
33. Zee,33,2/3/2026,1:22:50 PM,kitadan,,,Mary Kay Apartments,"Sandy light orange tabby, when she stares you can tell she only has one braincell",1/1/2021,"While not liking humans much, Zee is very talkative",Yes,,Female,,,90,TRUE,FALSE
34. Oreo 2,34,2/26/2026,6:42:16 PM,izzyballz,,,"Bookstore / First Baptist Church, All over!, West Campus",Tuxedo cat! No spots or splotches. Plain tuxedo with no bowtie.,1/1/2022,,No,,Female,bink,"Assumed to have a litter of kittens near West Hall, confirmed sighting of tuxedo kittens -Mira, maybe paquini's father? -atlas",2,TRUE,FALSE
35. Stove,35,2/18/2026,2:58:23 PM,not_d3fault_1420,,,All over!,"gray on top, red or orange on bottom. fluffy tail",1/1/2025,Barks at you and chases other stoves around,We don't do that.,,yes,Squonk,,48,TRUE,FALSE
36. Scringle,36,3/18/2026,4:50:28 PM,le_nuit_sans_fin,,,Heights On Pecan,Longhair Marble with white belly and face,1/1/2021,Skittish but not hostile to other cats. ,No,,Male,Blorbo,,73,TRUE,FALSE
37. Dingus,37,1/21/2026,7:26:49 PM,le_nuit_sans_fin,,,Heights On Pecan,Fat tabby,1/1/2023,Got in a yelling match with scraggle but does not seem to be violent,,,Male,,,9,TRUE,FALSE
38. Winston,38,3/22/2026,2:46:49 PM,cici4f3,,,Lot 50,"Black cat with white on lip/nose, white socks on back feet, and little bits of white on front feet",1/1/2019,Calm overall. Usually with Radar and Faye. May walk near you and doesn't mind people,Yes,3/5/2021,Male,Sonar,https://discord.com/channels/551082419768393729/756137860570021907/824836586348871720,218,TRUE,FALSE
39. Radar,39,3/22/2026,2:46:47 PM,cici4f3,,,Lot 50,Black and white tuxedo cat. Eyes are always wide and scared-looking,1/1/2019,"Goofball of a boy. Very confident, too. Not super afraid of people",Yes,9/14/2023,Male,,https://discord.com/channels/551082419768393729/756137860570021907/1152097078592409630,280,TRUE,FALSE
40. Dumpster,40,3/22/2026,2:46:38 PM,cici4f3,,,Lot 50,"Fluffy gray tabby with lots of white. Has ""rings"" on tail",1/1/2019,is a lover of all,Yes,,Female,,,263,TRUE,FALSE
