epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.592,1.2403,2.12652,0.84544,0.91621,0.89493,0.95205,0.63666,1.24035,1.13162,0.77648,0.0760334,0.00192625,0.00192625
2,384.341,1.1998,1.49496,0.79916,0.93178,0.87913,0.94727,0.65396,1.15347,1.14226,0.77113,0.0023281,0.0023281,0.0023281
3,547.675,1.20274,1.47622,0.80097,0.93757,0.85728,0.94334,0.65778,1.18001,1.17777,0.7862,0.00231121,0.00231121,0.00231121
4,706.322,1.17727,1.40768,0.79212,0.92955,0.88238,0.94211,0.63805,1.24876,1.16543,0.79863,0.00229431,0.00229431,0.00229431
5,869.934,1.14388,1.37905,0.7826,0.93774,0.89726,0.9579,0.7341,0.94244,0.98243,0.69944,0.00227741,0.00227741,0.00227741
6,1029.03,1.11807,1.32299,0.76449,0.93781,0.9113,0.95887,0.74163,0.90683,0.95763,0.68713,0.00226051,0.00226051,0.00226051
7,1197.76,1.09507,1.32068,0.75917,0.94681,0.91035,0.96248,0.77377,0.8234,0.91092,0.67269,0.00224362,0.00224362,0.00224362
8,1360.1,1.06955,1.29272,0.75377,0.94245,0.91363,0.96086,0.77304,0.78781,0.87108,0.67161,0.00222672,0.00222672,0.00222672
9,1523.57,1.06119,1.26528,0.75652,0.94081,0.89307,0.95244,0.76954,0.7732,0.93058,0.66928,0.00220982,0.00220982,0.00220982
10,1685.26,1.0377,1.24914,0.74721,0.94969,0.92154,0.97238,0.79603,0.7582,0.84327,0.65241,0.00219293,0.00219293,0.00219293
11,1847.21,1.02539,1.19634,0.73454,0.94335,0.92329,0.96958,0.79671,0.75668,0.82293,0.65015,0.00217603,0.00217603,0.00217603
12,2012.69,1.0195,1.19907,0.73137,0.95243,0.9122,0.96764,0.78518,0.76453,0.83903,0.64822,0.00215913,0.00215913,0.00215913
13,2176.22,1.00743,1.1881,0.73332,0.95962,0.90795,0.96829,0.77842,0.8167,0.8258,0.6589,0.00214223,0.00214223,0.00214223
14,2337.86,0.99534,1.17191,0.72186,0.95474,0.92236,0.97028,0.79614,0.75458,0.80806,0.64104,0.00212534,0.00212534,0.00212534
15,2495.63,0.99091,1.14576,0.72012,0.95133,0.9205,0.9705,0.81539,0.70617,0.77673,0.63057,0.00210844,0.00210844,0.00210844
16,2661.51,0.99037,1.13527,0.722,0.96403,0.92199,0.97314,0.80485,0.73441,0.78297,0.64075,0.00209154,0.00209154,0.00209154
17,2820.23,0.98444,1.13718,0.71561,0.95312,0.92143,0.96884,0.81313,0.67805,0.80222,0.63126,0.00207465,0.00207465,0.00207465
18,2976.24,0.97096,1.11236,0.71736,0.95537,0.91725,0.96893,0.79942,0.75517,0.81704,0.64153,0.00205775,0.00205775,0.00205775
19,3141.34,0.96507,1.12047,0.71348,0.9654,0.92104,0.97112,0.81385,0.69935,0.79201,0.63053,0.00204085,0.00204085,0.00204085
20,3298.81,0.95277,1.10343,0.70663,0.95574,0.92608,0.97196,0.82101,0.67845,0.76343,0.62684,0.00202395,0.00202395,0.00202395
