[08/25/2025 12:07:34.589 AM] Message  || User: gupguppy            || Channel: #logging                             || Content: (no text; attachments=0)
[08/25/2025 12:09:52.453 AM] Message  || User: marciepoo143        || Channel: #bot-spam                            || Content: spoils for letters And nsfw-ish but i saw the first two letters light up green and i got so excited thinking my stupid guess was right 😭
[08/25/2025 12:10:07.018 AM] Message  || User: kcreepertux04       || Channel: #bot-spam                            || Content: LMFAO
[08/25/2025 12:10:21.402 AM] Message  || User: kcreepertux04       || Channel: #bot-spam                            || Content: I literally just started guessing letters at the end and guessed a word I can’t even find the definition for
[08/25/2025 12:10:51.335 AM] Message  || User: kcreepertux04       || Channel: #bot-spam                            || Content: ||like i tried googling tirth and got nothing|| ALSO ||MIRTH? TF?? WHAT IS THAT WORD?? Can we go back to having real words plz||
[08/25/2025 12:12:18.586 AM] Message  || User: marciepoo143        || Channel: #bot-spam                            || Content: I LIKE THAT WORD ||its means to be Jolly and Merry and Happy ❤️||
[08/25/2025 12:14:49.646 AM] Message  || User: coziidruid          || Channel: #executive-board                     || Content: if we wanted to do like. feeding station painting or mayhaps that “portioning food for feeding stations before the week so feeders can just grab that” could work too?
[08/25/2025 12:15:10.710 AM] Message  || User: coziidruid          || Channel: #executive-board                     || Content: that or just a powerpoint on who we are/what we do/and some common cats on campus?
[08/25/2025 12:16:46.615 AM] Message  || User: coziidruid          || Channel: #executive-board                     || Content: we have like 3 of each of these
[08/25/2025 12:31:24.744 AM] Message  || User: a1darek             || Channel: #executive-board                     || Content: Damn when did we get those
[08/25/2025 09:05:53.537 PM] Event    ||                           ||                                               || {"event": "dues_loop_error", "error": "HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError(\"<urllib3.connection.HTTPSConnection object at 0x0000020AFA7247D0>: Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)\"))"}
[08/25/2025 09:06:23.244 PM] Online   || User: Tom Cat#8337        || Guilds: 2                                    
[08/25/2025 09:06:49.169 PM] Message  || User: ludavis             || Channel: #yapper-committee                    || Content: Seems fine. Just use PayPal and make sure you get one with a SSD and a discrete graphics card
[08/25/2025 09:08:33.001 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: 🙂‍↕️ thanks axel
[08/25/2025 09:08:43.356 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: time to remember what my paypal is. yay!
[08/25/2025 09:08:57.228 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: what exactly is a discrete graphics card?
[08/25/2025 09:09:27.073 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: also i have heard that the intel core i7/i8 in certain generations are prone to blue screening so im going to do my best to avoid one of those
[08/25/2025 09:15:10.596 PM] Message  || User: ludavis             || Channel: #yapper-committee                    || Content: I personally would stick to intel i5 8000 series or above or ryzen. They are using some older cpus and those are the most recent. Ryzen one at least can be upgraded a bit. 
Discrete gpu is just a separate card from the graphics integrated on the cpu. So like nvidia gtx or Radeon card
[08/25/2025 09:18:16.306 PM] Message  || User: void_now            || Channel: #yapper-committee                    || Content: Discrete usually means a chip on the motherboard that handles graphics processing, instead of having a separate graphics card
[08/25/2025 09:18:29.442 PM] Message  || User: celeryiscelery      || Channel: #purrley-pawsitive-pussy-pals        || Content: gonna die mavengage for having ||dead names||
[08/25/2025 09:18:45.346 PM] Message  || User: celeryiscelery      || Channel: #purrley-pawsitive-pussy-pals        || Content: lowkey wanna see if there's someone i can email about that
[08/25/2025 09:19:17.293 PM] Message  || User: void_now            || Channel: #yapper-committee                    || Content: Although they are usually far less powerful, so you can really do anything like rendering or gaming with it
[08/25/2025 09:19:25.029 PM] Message  || User: racerdg             || Channel: #feeding-team                        || Content: omw to west hall 🫡
[08/25/2025 09:20:36.349 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: yes was very confused when i went looking at if we needed to update
[08/25/2025 09:20:47.474 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: was like who tf are these ppl
[08/25/2025 09:22:14.580 PM] Message  || User: adeyumii            || Channel: #itty-bitty-kitty-commitee           || Content: Why are the ferals so stinky
[08/25/2025 09:23:04.502 PM] Message  || User: void_now            || Channel: #yapper-committee                    || Content: I think so at least
[08/25/2025 09:23:10.866 PM] Message  || User: racerdg             || Channel: #feeding-team                        || Content: fat fuck opossum spotted on the walk there
[08/25/2025 09:23:21.748 PM] Message  || User: void_now            || Channel: #yapper-committee                    || Content: Assuming discrete and integrated graphics are the same
[08/25/2025 09:23:30.347 PM] Message  || User: m_digio             || Channel: #feeding-team                        || Content: melvin!
[08/25/2025 09:23:35.806 PM] Message  || User: racerdg             || Channel: #feeding-team                        || Content: possibly
[08/25/2025 09:24:03.864 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: okie dokie
[08/25/2025 09:24:15.424 PM] Message  || User: racerdg             || Channel: #feeding-team                        || Content: he was right before the bridge
[08/25/2025 09:24:20.132 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: I have bookmarked this seller and will revisit in a few weeks
[08/25/2025 09:24:44.721 PM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: I should PROBABLY wait until AFTER I've paid my rent for next month to make a big purchase
[08/25/2025 09:25:54.053 PM] Message  || User: m_digio             || Channel: #feeding-team                        || Content: all opossums are melvinn
[08/25/2025 09:27:23.534 PM] Message  || User: racerdg             || Channel: #feeding-team                        || Content: i see
[08/25/2025 09:27:23.584 PM] Message  || User: adeyumii            || Channel: #itty-bitty-kitty-commitee           || Content: is it the blankets or are they just stinky boys
[08/25/2025 09:28:34.630 PM] Message  || User: celeryiscelery      || Channel: #purrley-pawsitive-pussy-pals        || Content: just sent an email about that, literally gave me whiplash bc i was like who?????
[08/25/2025 09:28:59.440 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: @Derek [TNR] whats your dogs name
[08/25/2025 09:29:28.887 PM] Message  || User: m_digio             || Channel: #feeding-team                        || Content: and raccoons are rocket and squirrles are either stoves or squonks
[08/25/2025 09:29:59.863 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: derekkkkk
[08/25/2025 09:30:07.081 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: its importantttt
[08/25/2025 09:30:08.169 PM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: fiora
[08/25/2025 09:30:13.534 PM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: thank you kaz
[08/25/2025 09:30:16.490 PM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: for surezie
[08/25/2025 09:30:29.195 PM] Message  || User: void_now            || Channel: #itty-bitty-kitty-commitee           || Content: Faye is def stinky
[08/25/2025 09:30:30.768 PM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: cheesecake and strawberry lemonade in fridge <:happycat:834819172546510868> shower time then bed
