[10/03/2025 12:04:02.209 AM] React+   || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="Ya" by austinbaustinb
[10/03/2025 12:04:13.673 AM] React+   || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="No fleas on flea comb at all" by austinbaustinb
[10/03/2025 12:04:15.575 AM] React+   || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="And we were able to like “baby wipe bath..." by austinbaustinb
[10/03/2025 12:04:17.161 AM] React+   || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="So no “bath” but like hopefully de-dirte..." by austinbaustinb
[10/03/2025 12:04:23.349 AM] Message  || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || Content: yay toothless!!!
[10/03/2025 12:20:35.621 AM] Message  || User: .bettercalljack     || Channel: #bot-spam                            || Content: Oops i forgot
[10/03/2025 12:29:57.214 AM] Message  || User: kitadan             || Channel: #bot-spam                            || Content: ||Double S word||
[10/03/2025 12:36:49.020 AM] React+   || User: .s3j                || Channel: #itty-bitty-kitty-commitee           || emoji=❤️; msg="Nightfury is such a cool name as well fr" by void_now
[10/03/2025 12:40:25.279 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: WELCOME BACK 1989
[10/03/2025 12:40:58.181 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: i’d like to thank max martin and shellback for their contributions t...
[10/03/2025 12:41:48.248 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: and a big thank you to jack antonoff for keeping his grubby hands an...
[10/03/2025 01:02:58.460 AM] Message  || User: a1darek             || Channel: #bot-spam                            || Content: happy 100 guys 🎉
[10/03/2025 01:36:01.500 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Meant to ask: Has Taylor ever mentioned sex?  Because Wi$h List ment...
[10/03/2025 01:36:21.004 AM] React+   || User: kitadan             || Channel: #yapper-committee                    || emoji=🎉; msg="i’d like to thank max martin and shellba..." by kcreepertux04
[10/03/2025 01:36:23.539 AM] React+   || User: kitadan             || Channel: #yapper-committee                    || emoji=👍; msg="and a big thank you to jack antonoff for..." by kcreepertux04
[10/03/2025 01:36:52.724 AM] React+   || User: kitadan             || Channel: #bot-spam                            || emoji=🎉; msg="happy 100 guys 🎉" by a1darek
[10/03/2025 01:37:30.256 AM] Message  || User: racerdg             || Channel: #bot-spam                            || Content: <a:sorwy:1042733186578403348>
[10/03/2025 01:37:48.274 AM] Message  || User: racerdg             || Channel: #yapper-committee                    || Content: whay
[10/03/2025 01:37:51.738 AM] Edit     || User: racerdg             || Channel: #yapper-committee                    || whay -> what
[10/03/2025 01:40:10.432 AM] Message  || User: kukieari            || Channel: #yapper-committee                    || Content: huh
[10/03/2025 01:40:19.022 AM] Message  || User: kukieari            || Channel: #yapper-committee                    || Content: <:emoji_6:1423549254353551364>
[10/03/2025 01:42:21.450 AM] Leave    || User: _.cil_ (29446114... || Guild: Campus Cat Coalition                  
[10/03/2025 01:45:48.041 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: oh yeah
[10/03/2025 01:46:04.387 AM] React+   || User: kitadan             || Channel: #yapper-committee                    || emoji=👍; msg="oh yeah" by kcreepertux04
[10/03/2025 01:46:23.538 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: “my dick is bigger than yours”
[10/03/2025 01:46:42.641 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: “the key to my thighs”
[10/03/2025 01:47:04.496 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: no even subtle with it in wood
[10/03/2025 01:48:41.369 AM] Edit     || User: kcreepertux04       || Channel: #yapper-committee                    || “my dick is bigger than yours” -> “i can make deals with the devil cuz my dic...
[10/03/2025 02:10:03.713 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:05.229 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:06.576 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:07.912 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:09.228 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:10.410 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:11.403 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:12.512 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:13.583 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: 404 Not Found (error code: 10008): Unknown Message
[10/03/2025 02:10:13.583 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/03/2025 02:10:13.583 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/03/2025 02:19:58.777 AM] Edit     || User: kcreepertux04       || Channel: #yapper-committee                    || “the key to my thighs” -> “your love was the key to open my thighs”
[10/03/2025 02:26:08.308 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: the way nicki minaj stopped her beefing with anything that moves to ...
[10/03/2025 02:26:10.503 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: hilarious
