[10/17/2025 12:01:46.398 AM] React+   || User: m_digio             || Channel: #pet-pictures                        || emoji=💖; msg=1428577424957898795
[10/17/2025 12:02:39.640 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=❤️; msg=1428604831555387453
[10/17/2025 12:08:39.360 AM] Message  || User: .bettercalljack     || Channel: #bot-spam                            || Content: Im silly
[10/17/2025 12:17:56.432 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: toilets clogged and my father has deemed its the cats fault
[10/17/2025 12:18:03.247 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: I love living with a manchild
[10/17/2025 12:18:47.958 AM] React+   || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="toilets clogged and my father has deemed..." by a1darek
[10/17/2025 12:18:59.467 AM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: Dude get sienna out of the toilet /silly
[10/17/2025 12:20:22.732 AM] Message  || User: m_digio             || Channel: #bot-spam                            || Content: I hate this game /lh
[10/17/2025 12:21:19.532 AM] Message  || User: .bettercalljack     || Channel: #bot-spam                            || Content: ||i always forget double letters are an actual possibility||
[10/17/2025 12:21:31.844 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: imagine if Spotify were a good service
[10/17/2025 12:21:41.504 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: No fr
[10/17/2025 12:37:38.919 AM] React+   || User: _rambone_           || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="toilets clogged and my father has deemed..." by a1darek
[10/17/2025 12:40:02.914 AM] React+   || User: mochenoch           || Channel: #yapper-committee                    || emoji=❤️; msg="And yes I fed and gave them water.  But ..." by kitadan
[10/17/2025 12:56:33.398 AM] React+   || User: _rambone_           || Channel: #executive-board                     || emoji=😆; msg="was jolted awake to remind us to ask abt..." by slayc127
[10/17/2025 01:35:37.031 AM] React+   || User: .s3j                || Channel: #pet-pictures                        || emoji=💙; msg=1428497714718572657
[10/17/2025 02:10:03.399 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:04.075 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:04.663 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:05.290 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:05.970 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:06.929 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:07.902 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:08.753 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:09.486 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:10.116 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:10.218 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.253 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.330 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.362 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.394 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.442 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:10.442 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/17/2025 02:10:10.442 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/17/2025 02:10:14.501 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: 404 Not Found (error code: 10008): Unknown Message
[10/17/2025 02:10:14.533 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/17/2025 02:10:14.533 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/17/2025 02:10:14.533 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/17/2025 03:00:00.222 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[10/17/2025 03:00:05.220 AM] Action   || Name: dues_membership_... || Trigger: row=2                                || Output: Date|Mavorgs Invite|Semester|Email|Full Name|Discord Username|Payment...
[10/17/2025 03:00:05.220 AM] Action   || Name: dues_membership_... || Trigger: total=1002                           || Output: usable=858
[10/17/2025 03:00:05.220 AM] Action   || Name: dues_scheduler      || Trigger: count=0                              || Output: done
[10/17/2025 03:00:05.220 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[10/17/2025 03:00:05.220 AM] Action   || Name: dues_scheduler      || Trigger: count=0                              || Output: done
[10/17/2025 03:17:24.785 AM] Action   || Name: gmail_log_scheduler || Trigger: found=1                              || Output: logged=1
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Axel Torres $24.25 on 2025-08-22
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $47.62 on 2025-08-26
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: M. Padron $20.00 on 2025-08-26
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/17/2025 03:17:24.953 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Addison Loera $8.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $5.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $3.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Rob Jimenez $3.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Daniel Brantley $3.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Isabella Klein $9.70 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Wix $25.98 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Troy Broome $1.00 on 2025-08-26
[10/17/2025 03:17:24.969 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Div Bits $2.00 on 2025-08-26
