[11/12/2025 12:00:04.282 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: im loling
[11/12/2025 12:00:07.514 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: Too bad you’re deathly allergic to __ and had an unfortunate run-in ...
[11/12/2025 12:00:24.078 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: Idk to me I think deduction for attendance is silly
[11/12/2025 12:00:25.829 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: Pro tip right there
[11/12/2025 12:00:39.470 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=😆; msg="Too bad you’re deathly allergic to __ an..." by austinbaustinb
[11/12/2025 12:00:41.055 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: I’m paying to be here, if I don’t come then it’s not really a proble...
[11/12/2025 12:00:41.191 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=😆; msg="Too bad you’re deathly allergic to __ an..." by austinbaustinb
[11/12/2025 12:00:44.237 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: Got me 3 free excused absences
[11/12/2025 12:01:01.450 AM] React+   || User: austinbaustinb      || Channel: #yapper-committee                    || emoji=‼️; msg="I’m paying to be here, if I don’t come t..." by mochenoch
[11/12/2025 12:01:20.542 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: ESPECIALLY AT A COMMUTERS SCHOOL
[11/12/2025 12:01:25.660 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: If you’re class grade is based on presence instead of performance, i...
[11/12/2025 12:01:49.904 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: deadass bro
[11/12/2025 12:02:07.611 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: I just think it’s silly, I’m paying to be here and if I can pass you...
[11/12/2025 12:02:42.010 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: If I can learn in 30 minutes alone what you’re trying to teach in 1-...
[11/12/2025 12:03:32.092 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: I’m at a bit of a cross roads currently (I’ve hated UTA the entire t...
[11/12/2025 12:04:15.588 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: If you use chat gpt and sit around then yeah you’re paying for a deg...
[11/12/2025 12:04:23.539 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: Also free gym
[11/12/2025 12:05:15.144 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: I want to be given problems where my challenge lies is finding solut...
[11/12/2025 12:05:31.877 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: You can gain connections without paying for the tuition
[11/12/2025 12:05:54.776 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: I feel the tuition is for the degree at the end of it. The rest can ...
[11/12/2025 12:06:01.975 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: I suppose
[11/12/2025 12:06:12.352 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: I just enjoy the company and discussion with professors
[11/12/2025 12:06:16.721 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: But if you can get a degree by barely doing anything other than show...
[11/12/2025 12:06:18.643 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=😆; msg="Too bad you’re deathly allergic to __ an..." by austinbaustinb
[11/12/2025 12:06:27.964 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: Oh no yea I do to
[11/12/2025 12:07:14.118 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: But that ain’t what people go to college for really. I wish it were ...
[11/12/2025 12:07:37.328 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: My favorite prof actually makes you do the readings and work and peo...
[11/12/2025 12:07:39.914 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: It’s really funny
[11/12/2025 12:07:51.299 AM] Message  || User: austinbaustinb      || Channel: #yapper-committee                    || Content: I want an engineering program with good robotics stuff! Or professor...
