[11/13/2025 12:00:05.914 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: happy november 13th, the anniversary of the gummy bear album drop
[11/13/2025 12:00:11.408 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: @izzy balls https://www.etsy.com/listing/4299554630/14g-solid-titani...
[11/13/2025 12:00:20.778 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: pumpkins tend to rot on the inside so they look fine but pressure st...
[11/13/2025 12:00:21.345 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: this could be good for when u change it out
[11/13/2025 12:00:34.122 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=‼️; msg="pumpkins tend to rot on the inside so th..." by izzyballz
[11/13/2025 12:00:36.451 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: LOOK FOR THE GUMMY BEAR ALBUM IN STORES ON NOVEMBER 13th
[11/13/2025 12:00:42.258 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=🩷; msg="happy november 13th, the anniversary of ..." by simplyshadow171295
[11/13/2025 12:01:11.503 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=‼️; msg="LOOK FOR THE GUMMY BEAR ALBUM IN STORES ..." by cici4f3
[11/13/2025 12:01:18.282 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Assuming this is for me but i locked in on stuff from tulsa body jew...
[11/13/2025 12:01:46.116 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: The top and bottoms are removable so im gonna do the disk and have a...
[11/13/2025 12:01:55.133 AM] Message  || User: .bettercalljack     || Channel: #pictures-of-the-cats                || Content: Can we get a walmart turkey or rotisserie chicken and compare the size
[11/13/2025 12:02:10.250 AM] Edit     || User: .bettercalljack     || Channel: #yapper-committee                    || The top and bottoms are removable so im gonna do the disk and have a pink bal...
[11/13/2025 12:02:17.533 AM] React+   || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || emoji=😭; msg="https://youtu.be/FPUzRWsyHSg?si=rGd1z5uC..." by .bettercalljack
[11/13/2025 12:02:38.441 AM] Message  || User: izzyballz           || Channel: #pictures-of-the-cats                || Content: he’s roughly butterball sized
[11/13/2025 12:03:48.090 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: costco rotisserie chicken
[11/13/2025 12:03:53.101 AM] React+   || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || emoji=😭; msg="He ALMOST got in my lap" by .bettercalljack
[11/13/2025 12:03:53.126 AM] Message  || User: .bettercalljack     || Channel: #pictures-of-the-cats                || Content: I think hes avoiding my lap because i kept moving around and pissing...
