[11/18/2025 12:08:31.438 AM] React+   || User: kitadan             || Channel: #feeding-team                        || emoji=‼️; msg="maintence fed!" by lifeye
[11/18/2025 12:12:19.600 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=❤️; msg="what if i ran you over derek" by celeryiscelery
[11/18/2025 12:18:32.330 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: so real Izzy balls
[11/18/2025 12:37:23.216 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: how does one go about cleaning 33 ounces of strawberry syrup of the ...
[11/18/2025 12:37:53.189 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: pmtfo
[11/18/2025 12:48:52.099 AM] React+   || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg=1440210368189431838
[11/18/2025 12:49:00.563 AM] Message  || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || Content: the hell is your problem
[11/18/2025 12:52:15.066 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: this is top 100 most annoying things that could happen at almost 1 am
[11/18/2025 12:54:54.347 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: highkey serving crime scene
[11/18/2025 01:00:01.136 AM] Message  || User: emiximez            || Channel: #feeding-team                        || Content: i can feed maintenance today
[11/18/2025 01:00:01.140 AM] Action   || Name: feed_pending_set    || Trigger: ch=643586809166561310; user=33810... || Output: stations=Maintenance; text=i can feed maintenance today
[11/18/2025 01:01:17.789 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: oh god
[11/18/2025 01:01:19.613 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: uhhh
[11/18/2025 01:01:41.169 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: I guess uh.... use paper towels to get the bulk of it then mop the s...
[11/18/2025 01:08:13.027 AM] Message  || User: kukieari            || Channel: #yapper-committee                    || Content: what in tarnation
[11/18/2025 01:09:08.228 AM] Message  || User: racerdg             || Channel: #yapper-committee                    || Content: oh lord
[11/18/2025 01:10:49.257 AM] React+   || User: the.lemonade.stand  || Channel: #pictures-of-the-cats                || emoji=<:macrowave:857753712591634442>; msg="bum" by izzyballz
[11/18/2025 01:12:35.365 AM] Message  || User: the.lemonade.stand  || Channel: #yapper-committee                    || Content: use the dustpan and sweep it up (idk)
[11/18/2025 01:19:10.627 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/18/2025 01:19:10.627 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/18/2025 01:19:10.627 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/18/2025 01:19:22.196 AM] Message  || User: m_digio             || Channel: #bot-spam                            || Content: Grrrr
[11/18/2025 01:19:26.804 AM] Message  || User: m_digio             || Channel: #bot-spam                            || Content: I don't know words
[11/18/2025 01:19:47.682 AM] Message  || User: m_digio             || Channel: #bot-spam                            || Content: Is there a stem version of this game /silly
[11/18/2025 01:31:38.940 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: dilute with an insane amount of water man
[11/18/2025 01:31:48.432 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: shits viscous and its not gonna get out easy
[11/18/2025 01:38:13.832 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i just spent an hour cleaning up syrup
[11/18/2025 01:45:26.823 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: core memory
[11/18/2025 01:48:26.577 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: it’s highkey still a little sticky i have to steam mop tomorrow
[11/18/2025 01:48:36.289 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: fuck my stupid chungus life
[11/18/2025 01:49:19.470 AM] Message  || User: racerdg             || Channel: #yapper-committee                    || Content: get a sweet treat
[11/18/2025 02:03:48.571 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Use vinegar or a little nail polish remover first.  They break the s...
[11/18/2025 02:10:03.163 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:04.338 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:05.423 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:06.470 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:07.552 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:08.485 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:09.370 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:10.170 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:11.192 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: 404 Not Found (error code: 10008): Unknown Message
[11/18/2025 02:10:11.192 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/18/2025 02:10:11.192 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/18/2025 03:00:00.362 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[11/18/2025 03:00:04.014 AM] Action   || Name: dues_membership_... || Trigger: row=2                                || Output: Date|Mavorgs Invite|Semester|Email|Full Name|Discord Username|Payment...
[11/18/2025 03:00:04.022 AM] Action   || Name: dues_membership_... || Trigger: total=1002                           || Output: usable=858
[11/18/2025 03:00:04.022 AM] Action   || Name: dues_scheduler      || Trigger: count=0                              || Output: done
[11/18/2025 04:02:23.506 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: they just lost all of it 💔
[11/18/2025 05:19:10.690 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/18/2025 05:19:10.690 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/18/2025 05:19:10.690 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/18/2025 05:27:31.916 AM] Message  || User: adeyumii            || Channel: #feeding-team                        || Content: @hat reminder not to feed lot 50 today. You can probably still visit...
[11/18/2025 05:27:31.928 AM] Action   || Name: feed_pending_set    || Trigger: ch=643586809166561310; user=47432... || Output: stations=Lot 50; text=<@204682859217158144> reminder not to feed lot ...
[11/18/2025 05:32:37.921 AM] Message  || User: ludavis             || Channel: #feeding-team                        || Content: Girl its 5am
[11/18/2025 05:37:37.178 AM] Message  || User: ludavis             || Channel: #yapper-committee                    || Content: I missed the skincare talk <a:noooo:801986114079424562>
[11/18/2025 05:50:12.633 AM] Message  || User: adeyumii            || Channel: #feeding-team                        || Content: Yea and I have work at 6
[11/18/2025 06:02:44.999 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: bro why did yall have a conversation right when i went to bed 💔🥀
[11/18/2025 06:03:02.450 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: mykales always
[11/18/2025 06:03:46.136 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=😆; msg="Worried i may need them" by austinbaustinb
[11/18/2025 06:03:51.475 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg=1440210368189431838
[11/18/2025 06:03:52.996 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=❤️; msg="what if i ran you over derek" by celeryiscelery
[11/18/2025 06:25:27.707 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: carlbot
[11/18/2025 06:25:30.812 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: hmmm
[11/18/2025 06:25:40.111 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: I want to find the new trigger words that Kaz sent
[11/18/2025 06:26:08.920 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: Kaz and cel most Kaz though it'd be funny if you made it to where yo...
[11/18/2025 06:27:12.014 AM] Edit     || User: adeyumii            || Channel: #bot-spam                            || Kaz and cel most Kaz though it'd be funny if you made it to where you said on...
[11/18/2025 06:27:21.922 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: boba tea

(Gnarly)
[11/18/2025 06:27:31.786 AM] Edit     || User: adeyumii            || Channel: #bot-spam                            || Kaz and cel most Kaz though it'd be funny if you made it to where you said on...
[11/18/2025 06:37:05.968 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: okay i am going to be very brave and open the email
[11/18/2025 06:37:38.746 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: OKKKKKKKKKKK NEVERMIND #ANXIETYCANCELLED
[11/18/2025 06:38:04.133 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: fire and flames guys 🔥🔥🔥
[11/18/2025 07:15:58.297 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Should I call off work
[11/18/2025 07:16:02.177 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Seja has strep
[11/18/2025 07:16:21.987 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Or had strep and now the backa my throat feels weird
[11/18/2025 07:26:55.941 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Consensus is in
[11/18/2025 07:27:02.517 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: 1 vote for back to bed (me)
[11/18/2025 07:27:12.255 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Nobody wants to work anymore!
[11/18/2025 07:47:42.632 AM] React+   || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || emoji=👍; msg="Should I call off work" by austinbaustinb
[11/18/2025 07:47:49.729 AM] React+   || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || emoji=💪; msg="1 vote for back to bed (me)" by austinbaustinb
[11/18/2025 08:15:37.045 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="mykales always" by slayc127
[11/18/2025 08:15:41.062 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=🎉; msg="fire and flames guys 🔥🔥🔥" by slayc127
[11/18/2025 08:15:46.101 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=💪; msg="1 vote for back to bed (me)" by austinbaustinb
[11/18/2025 08:17:37.921 AM] Message  || User: sophie041844        || Channel: #events                              || Content: Giving away a PS5 to anyone who's interested! I'm upgrading my gamin...
[11/18/2025 08:17:37.952 AM] Action   || Name: spam_detect_debug   || Trigger: user=1431264210633101372; ch=1430... || Output: score=5; phrases=dm_if_interested; regex=\b(?:dm|pm|message|text)\s+m...
[11/18/2025 08:17:38.139 AM] Delete   || User: sophie041844        || Channel: #events                              || Content: Giving away a PS5 to anyone who's interested! I'm upgrading my gamin...
[11/18/2025 08:17:38.171 AM] Spam     || User: sophie041844        || Channel: #events                              || decision=deleted; reason=rules
[11/18/2025 08:17:38.171 AM] Action   || Name: send_suppressed     || Trigger: ch=842975801934217276                || Output: Spam Message Detected User: @sophie041844 (1431264210633101372) Messa...
[11/18/2025 08:50:43.724 AM] Message  || User: plink5277           || Channel: #yapper-committee                    || Content: Bro this bus driver for the orange route likes to keep the heat on d...
[11/18/2025 08:50:45.545 AM] Message  || User: plink5277           || Channel: #yapper-committee                    || Content: I’m sweating
[11/18/2025 08:50:54.633 AM] Message  || User: plink5277           || Channel: #yapper-committee                    || Content: And I asked her to turn the ac on and she just glanced at me
[11/18/2025 09:00:39.806 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="bro why did yall have a conversation rig..." by slayc127
[11/18/2025 09:02:32.034 AM] Message  || User: spitonme            || Channel: #bot-spam                            || Content: ok so i didnt think that was an actual word
[11/18/2025 09:03:26.874 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=🐙; msg="bro why did yall have a conversation rig..." by slayc127
[11/18/2025 09:12:26.216 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: @Derek [TNR] what do u want from shipleys
[11/18/2025 09:12:33.812 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: For lunch
[11/18/2025 09:12:38.369 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: <:macrowave:857753712591634442>
[11/18/2025 09:19:11.799 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/18/2025 09:19:11.799 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/18/2025 09:19:11.799 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/18/2025 09:24:37.652 AM] Message  || User: baseketballin       || Channel: #feeding-team                        || Content: uhhh i found this bag of food on microwaves house 😭 😭
[11/18/2025 09:24:37.653 AM] Intent   || feed_update               ||                                               || station=Microwave; dates=['2025-11-18']
[11/18/2025 09:24:38.973 AM] Action   || Name: sheet_mark          || Trigger: station=Microwave date=2025-11-18    || Output: ok
[11/18/2025 09:24:38.985 AM] Action   || Name: feed_update         || Trigger: station=Microwave; dates=2025-11-18  || Output: ok
[11/18/2025 09:25:09.305 AM] Edit     || User: baseketballin       || Channel: #feeding-team                        || uhhh i found this bag of food on microwaves house 😭 😭 -> uhhh chat i found th...
[11/18/2025 09:26:30.706 AM] Message  || User: baseketballin       || Channel: #pictures-of-the-cats                || Content: <:balloonboi:933099871257382983>
[11/18/2025 09:26:31.598 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[11/18/2025 09:27:23.094 AM] Message  || User: ludavis             || Channel: #feeding-team                        || Content: <a:PepeHmm:575412409712246794>
[11/18/2025 09:28:05.807 AM] React+   || User: m_digio             || Channel: #pictures-of-the-cats                || emoji=❤️; msg="<:balloonboi:933099871257382983>" by baseketballin
[11/18/2025 09:28:22.211 AM] Message  || User: m_digio             || Channel: #feeding-team                        || Content: Take it
[11/18/2025 09:28:38.575 AM] Message  || User: baseketballin       || Channel: #feeding-team                        || Content: aye aye
[11/18/2025 09:28:56.894 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: good morning
[11/18/2025 09:29:04.721 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: did not think i was gonna go back to bed for this long
[11/18/2025 09:29:52.839 AM] Message  || User: baseketballin       || Channel: #feeding-team                        || Content: should i keep it for right now or move it to the food box ?
[11/18/2025 09:30:05.173 AM] Message  || User: m_digio             || Channel: #feeding-team                        || Content: Food box is fine
[11/18/2025 09:30:38.900 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: 5 billion dollar
[11/18/2025 09:30:56.175 AM] Message  || User: a1darek             || Channel: #yapper-committee                    || Content: Anythings fine!
[11/18/2025 09:32:52.949 AM] React+   || User: simplyshadow171295  || Channel: #pictures-of-the-cats                || emoji=❤️; msg="<:balloonboi:933099871257382983>" by baseketballin
[11/18/2025 09:38:43.351 AM] React+   || User: mirakira            || Channel: #report-new-cats                     || emoji=😭; msg="A 4th rubber baby has hit the lot 50" by adeyumii
[11/18/2025 09:40:32.640 AM] React+   || User: mirakira            || Channel: #pictures-of-the-cats                || emoji=❤️; msg="almost the whole gang is here" by simplyshadow171295
[11/18/2025 09:40:39.388 AM] React+   || User: mirakira            || Channel: #pictures-of-the-cats                || emoji=❤️; msg="<:balloonboi:933099871257382983>" by baseketballin
